tipo,numero,ano,responsavel,status,ementa,posicao_final,revisao_nivel,revisores,evidencia,lote,obs,expected_repo
"PL","74","2025","Otávio","Concluído","Circuito Carioca de Economia Solidária (Lei 7.008/21)","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir'","01-06","POC do fluxo; 4 versões (v1-v4)","nada a opor"
"PL","1795","2026","Otávio","Concluído","Transparência e segurança em entregas por plataformas digitais","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir' (lote 12/05)","01-06","","nada a opor"
"PL","1826","2026","Otávio","Concluído","Programa de Coberturas Verdes e Sustentáveis","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Luiza 17/06: 'Os demais já foram' (evidência indireta)","01-06","Aprovação individual não registrada: export sem mensagens de 06-16/06","nada a opor"
"PL","1840","2026","Otávio","Concluído","Gratuidade de orçamentos e visitas técnicas prévias","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir' (lote 12/05)","01-06","","nada a opor"
"PL","1844","2026","Otávio","Concluído","Sinalização dos polos gastronômicos","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir' (lote 12/05)","01-06","","nada a opor"
"PL","1866","2026","Otávio","Concluído","Taxa de serviço (gorjeta) e taxa de música ao vivo","Nada a opor","Aprovado sem alterações","Marcel","Marcel 19/05 11:29: 'Pode prosseguir' (lote 12/05)","01-06","","nada a opor"
"PL","1883","2026","Otávio","Concluído","Eixo Econômico Municipal de Assessoria de Investimentos","Nada a opor","Revisado com alterações","Marcel","Marcel repostou versão final 19/05 e nova versão 22/06 (acrescentou referência IOSCO)","01-06","","nada a opor"
"PL","1884","2026","Otávio","Concluído","Conceito de Eixo Econômico Municipal; 2ª rodada: autógrafo (sanção)","Nada a opor; autógrafo: nada a opor à sanção","Revisado com alterações","Marcel; Luiza","Marcel repostou versão final 19/05; Luiza ajustou abertura do autógrafo 14/07 18:17; Marcel 14/07 21:19: 'pode prosseguir'","01-06 e 10-07","Duas rodadas: PL original e autógrafo urgentíssimo (CVL 5305/2026)","nada a opor"
"PL","1897","2026","Otávio","Concluído","Prêmio Viva Voluntário (Lei 6.906/21)","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05 (referências, sem ressalvas); Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","1900","2026","Otávio","Concluído","ISS sobre Assessoria de Investimentos (Lei 691/84)","Nada a opor","Revisado com alterações","Marcel","Marcel repostou 19/05 11:35 cortando a seção 'Ressalva operacional'","01-06","","nada a opor"
"PL","1904","2026","Otávio","Concluído","Funcionário para idosos e PcD em ATMs bancários","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
"PL","1921","2026","Otávio","Concluído","Democratização de Imóveis (enfrentamento à violência contra mulheres)","Nada a opor","Aprovado sem alterações","Equipe (Luiza/Marcel)","Diretiva de lote Marcel 27/05; Luiza 17/06: 'os demais já foram'","27-05","Evidência indireta: export sem mensagens de 06-16/06","nada a opor"
